,paragraph_number,paragraph
557,558,"The crucial aspect here is the dependency order between the initial choice of language (or, preference over hypotheses) and the training set. As we know from fore seeing the data, then we are guaranteed a rather small estimation error term . Choosing a description language (or, equivalently, some weighting of hypotheses) is a weak form of committing to a hypothesis."
558,559,"Rather than committing to a single hypothesis, we spread out our commitment eralization bound holds. Just as the choice of a single hypothesis to be evaluated by a sample can be arbitrary, so is the choice of description language."
559,560,Nonuniform Learnability
560,561,Other Notions of Learnability – Consistency
561,562,The notion of learnability can be further relaxed by allowing the needed sample probability distribution D (that is used to generate the training sample and to determine the risk). This type of performance guarantee is captured by the notion of consistency1 of a learning rule.
562,563,"Let Z be a domain set, let P be a set of ing rule A is consistent with respect to H and P if there exists a function the choice of S ∼Dm it holds that"
563,564,"The notion of consistency is, of course, a relaxation of our previous notion of nonuniform learnability. Clearly if an algorithm nonuniformly learns a class"
564,565,"H it is also universally consistent for that class. The relaxation is strict in the sense that there are consistent learning rules that are not successful nonuniform universally consistent for the class of all binary classiﬁers over N. However, as we have argued before, this class is not nonuniformly learnable."
565,566,"Consider the classiﬁcation prediction algorithm Memorize deﬁned as follows. The algorithm memorizes the training examples, and, given a test point x, it predicts the majority label among all labeled instances of x that exist in the training sample (and some ﬁxed default label if no instance of x appears algorithm is universally consistent for every countable domain X and a ﬁnite"
566,567,"Intuitively, it is not obvious that the Memorize algorithm should be viewed as a learner, since it lacks the aspect of generalization, namely, of using observed data to predict the labels of unseen examples. The fact that Memorize is a consistent algorithm for the class of all functions over any countable domain set therefore raises doubt about the usefulness of consistency guarantees. Furthermore, the probability (corresponding to weak consistency) or almost sure convergence (corresponding to strong consistency). distributions” we mean all probability distributions that have Ωcontained in their associated family of measurable subsets. which led to overﬁtting, is in fact the Memorize algorithm. In the next section we discuss the signiﬁcance of the diﬀerent notions of learnability and revisit the"
567,568,"Discussing the Diﬀerent Notions of Learnability ness. As is usually the case, the usefulness of a mathematical deﬁnition depends on what we need it for. We therefore list several possible goals that we aim to tions in light of these goals."
568,569,"What Is the Risk of the Learned Hypothesis? rithm is bounding the risk of the output predictor. Here, both PAC learning and nonuniform learning give us an upper bound on the true risk of the learned hypothesis based on its empirical risk. Consistency guarantees do not provide such a bound. However, it is always possible to estimate the risk of the output"
569,570,"How Many Examples Are Required to Be as Good as the Best Hypothesis ples we need to collect in order to learn it. Here, PAC learning gives a crisp answer. However, for both nonuniform learning and consistency, we do not know in advance how many examples are required to learn H. In nonuniform learning this number depends on the best hypothesis in H, and in consistency it also depends on the underlying distribution. In this sense, PAC learning is the only useful deﬁnition of learnability. On the ﬂip side, one should keep in mind that even if the estimation error of the predictor we learn is small, its risk may still be large if H has a large approximation error. So, for the question “How many examples are required to be as good as the Bayes optimal predictor?” even PAC guarantees do not provide us with a crisp answer. This reﬂects the fact that the usefulness of PAC learning relies on the quality of our prior knowledge."
570,571,"PAC guarantees also help us to understand what we should do next if our learning algorithm returns a hypothesis with a large risk, since we can bound the part of the error that stems from estimation error and therefore know how much of the error is attributed to approximation error. If the approximation error is large, we know that we should use a diﬀerent hypothesis class. Similarly, if a nonuniform algorithm fails, we can consider a diﬀerent weighting function over (subsets of) hypotheses. However, when a consistent algorithm fails, we have no idea whether this is because of the estimation error or the approximation error. Furthermore, even if we are sure we have a problem with the estimation"
